CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34379,AY,0010,01,Intro Four-Field Anthropology,3 TF,1100-1215pm,Lacy S,WDIV
34380,AY,0010,02,Intro Four-Field Anthropology,3 TF,1230-0145pm,Lacy S,WDIV
35688,AY,0052,01,Culture and Political Economy,3 TF,0930-1045am,Crawford D,
34553,AY,0110,01,Biological Anthropology,3 W,0200-0430pm,Hensley-Marschand B,
34749,AY,0110,02,Biological Anthropology,3 W,0630-0900pm,Hensley-Marschand B,
34742,AY,0111,01,Cultural Anthropology,3 MR,0330-0445pm,Babo A,WDIV
34743,AY,0111,02,Cultural Anthropology,3 MR,1230-0145pm,Babo A,WDIV
35147,AY,0111,OL1,Cultural Anthropology,3,Online,Wilson J,WDIV
34953,AY,0115,01,Biomedical Anthropology,3 M,0630-0900pm,Aronsen G,
34954,AY,0180,OL1,Grant Writing for Social Sci,3,Online,Crawford D,
35943,AY,0390C,01,Spec Topics: Anthro and Educ,3 R,0630-0900pm,Wessler S,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34246,AE,0262,01,Ethics and the Community,3 W,0200-0430pm,Liftig R,UDIV
34630,AE,0265,01,Ethics in Education,3 TR,0500-0615pm,Liftig R,UDIV
34306,AE,0276,01,Ethical Dimens/Global Bus Prac,3 MR,0930-1045am,Day R,WDIV
34247,AE,0281,01,Ethics of Communications,3 T,0630-0900pm,Butler B,
35934,AE,0283,01,Environmental Justice,3 M,0630-0900pm,Newman R,
35017,AE,0284,01,Environmental Ethics,3 TF,1230-0145pm,Svoboda T,
34163,AE,0285,01,Ethics of Health Care,3 MW,0500-0615pm,Naser C,
35079,AE,0285,02,Ethics of Health Care,3 T,0500-0730pm,Newman R,
34173,AE,0287,01,Engineering Ethics,3 MR,0200-0315pm,Schmidt D,
34117,AE,0291,01,Business Ethics,3 T,0630-0900pm,Ventrella S,
35018,AE,0291,02,Business Ethics,3 MR,1100-1215pm,Lee J,IGRC UDIV
35019,AE,0291,03,Business Ethics,3 M,0630-0900pm,Schmidt N,
35020,AE,0291,04,Business Ethics,3 W,0200-0430pm,Schmidt N,
35021,AE,0291,OL1,Business Ethics,3,Online,Sticca-Conrod L,
35022,AE,0291,OL2,Business Ethics,3,Online,Sticca-Conrod L,
35384,AE,0291,OL3,Business Ethics,3,Online,Yoder J,
34123,AE,0391,01,"Sem Bus Law,Regulation &Ethics",3 M,0630-0900pm,Schmidt D,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34178,AH,0010,01,Origins & Transform Westrn Art,3 TF,0930-1045am,Paqua M,
35692,AH,0010,02,Origins & Transform Westrn Art,3 TF,1100-1215pm,Schwab K,
35693,AH,0010,03,Origins & Transform Westrn Art,3 TF,0200-0315pm,Schwab K,
34074,AH,0011,01,Visual Culture Since 1400,3 TF,1100-1215pm,Rose M,CLRC SJRC
34075,AH,0011,02,Visual Culture Since 1400,3 MR,0930-1045am,Eliasoph P,
34076,AH,0011,03,Visual Culture Since 1400,3 MR,1100-1215pm,Eliasoph P,
34294,AH,0011,04,Visual Culture Since 1400,3 M,0630-0900pm,Eliasoph P,
35694,AH,0102,01,Art of East Asia,3 TF,1230-0145pm,Covaci I,WDIV
35695,AH,0111,01,Greek Art and Archaeology,3 MR,0930-1045am,Schwab K,
35696,AH,0131,01,HighRenaissnce&Mannerism/Italy,3 M,0500-0730pm,DiMarzo M,IGRC
35697,AH,0165,01,African-American Art,3 TR,0800-0915pm,STAFF,UDIV
34171,AH,0330,01,Senior Capstone Seminar,3 W,1100-0130pm,Eliasoph P,
35100,AH,0330A,01,Senior Capstone Seminar,3 W,1100-0130pm,Eliasoph P,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
35347,AN,0310,01,Asian Studies Seminar,3 By Arrangement,,Li D,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34257,AR,0111,01,Elem Modern Standard Arabic II,3 MWR,0800-0850am,Hamed Y,
34312,AR,0211,01,Interm Mod Standard Arabic II,3 MR,0930-1020am,Hamed Y,
CRN,Subj,Course,Sec,Title,Creds,Days,Time,Instructor,Notes
34041,BI,0016,01,Fundamentals of Biology II,3,TR,0500-0615pm,Clark M,
35169,BI,0016,02,Fundamentals of Biology II,3,TR,0630-0745pm,Clark M,
34221,BI,0018,01,Human Biology: Form & Function,3,MR,0200-0315pm,Dutta I,
34631,BI,0018,02,Human Biology: Form & Function,3,MR,0330-0445pm,Dutta I,
35170,BI,0018,03,Human Biology: Form & Function,3,MR,0200-0315pm,Zavras E,
35734,BI,0071,OL1,Identity and the Human Genome,3,,Online,Rodriguez C,
34350,BI,0074,01,Biology of Food,3,TF,1100-1215pm,Osier T,
34787,BI,0078,01,Introduction to Marine Science,3,TR,0500-0615pm,Ortman B,
34788,BI,0078,02,Introduction to Marine Science,3,TR,0630-0745pm,Ortman B,
34042,BI,0108,01,Human Anatomy & Physiology II,4,MR,1100-1215pm,Earls C,
34557,BI,0108,02,Human Anatomy & Physiology II,4,MR,1230-0145pm,DeCristofaro A,
34352,BI,0108L,01,Human Anatomy & Physiology Lab,0,M,0100-0350pm,Earls C,
34353,BI,0108L,02,Human Anatomy & Physiology Lab,0,T,0900-1150am,Sauer D,
34354,BI,0108L,03,Human Anatomy & Physiology Lab,0,W,0830-1120am,DeCristofaro A,
34355,BI,0108L,04,Human Anatomy & Physiology Lab,0,W,1230-0320pm,DeCristofaro A,
34356,BI,0108L,05,Human Anatomy & Physiology Lab,0,W,0530-0820pm,Karpinski J,
34558,BI,0108L,06,Human Anatomy & Physiology Lab,0,R,0100-0350pm,Earls C,
34789,BI,0108L,07,Human Anatomy & Physiology Lab,0,F,1000-1250pm,Earls C,
35171,BI,0108L,08,Human Anatomy & Physiology Lab,0,M,0900-1150am,DeCristofaro A,
35172,BI,0108L,09,Human Anatomy & Physiology Lab,0,R,0900-1150am,Sauer D,
35735,BI,0108L,10,Human Anatomy & Physiology Lab,0,M,0530-0820pm,Date S,
34141,BI,0151,01,Elements of Microbiology,4,MR,1230-0145pm,Rodriguez C,
35736,BI,0151,02,Elements of Microbiology,4,TF,1230-0145pm,Rodriguez C,
34357,BI,0151L,01,Elements of Microbiology Lab,0,M,0200-0450pm,STAFF,
34358,BI,0151L,02,Elements of Microbiology Lab,0,T,0930-1220pm,John L,
34771,BI,0151L,03,Elements of Microbiology Lab,0,T,0200-0450pm,John L,
35173,BI,0151L,04,Elements of Microbiology Lab,0,W,0200-0450pm,STAFF,
35737,BI,0151L,05,Elements of Microbiology Lab,0,R,0200-0450pm,Rodriguez C,
34142,BI,0171,01,General Biology II,4,TF,0930-1045am,Andersen C,
34359,BI,0171,02,General Biology II,4,TF,1230-0145pm,Andersen C,
34360,BI,0171L,01,General Biology II Lab,0,M,0200-0450pm,Braun P,
34361,BI,0171L,02,General Biology II Lab,0,M,0200-0450pm,Biardi L,
34362,BI,0171L,03,General Biology II Lab,0,T,0200-0450pm,Brousseau D,
34363,BI,0171L,04,General Biology II Lab,0,T,0200-0450pm,Karpinski J,
34364,BI,0171L,05,General Biology II Lab,0,W,0530-0820pm,Biardi L,
35174,BI,0171L,06,General Biology II Lab,0,R,0200-0450pm,Braun P,
35738,BI,0171L,07,General Biology II Lab,0,R,0200-0450pm,STAFF,
34777,BI,0171P,01,General Biology II PLG,0,T,0300-0350pm,STAFF,
34779,BI,0171P,02,General Biology II PLG,0,T,0400-0450pm,STAFF,
34780,BI,0171P,03,General Biology II PLG,0,T,0500-0550pm,STAFF,
34781,BI,0171P,04,General Biology II PLG,0,W,0300-0350pm,STAFF,
34782,BI,0171P,05,General Biology II PLG,0,W,0400-0450pm,STAFF,
34783,BI,0171P,06,General Biology II PLG,0,W,0500-0550pm,STAFF,
34784,BI,0171P,07,General Biology II PLG,0,R,0300-0350pm,STAFF,
34785,BI,0171P,08,General Biology II PLG,0,R,0400-0450pm,STAFF,
34786,BI,0171P,09,General Biology II PLG,0,R 0500-0550pm,,STAFF,
34805,BI,0171P,10,General Biology II PLG,0,R 0600-0650pm,,STAFF,
35739,BI,0171P,11,General Biology II PLG,0,T 0600-0650pm,,STAFF,
